generation,lifecycle_stage,strategy,timeframe,direction,trades,PF,expectancy_R,net_R,max_drawdown_R,win_rate
v1,development,T2,M30,LONG,109,1.65803445544,0.271624668639,29.6070888816,-12.8612461582,0.366972477064
v1,development,T2,M30,SHORT,69,1.27603834056,0.145081146302,10.0105990948,-9.6346261844,0.260869565217
v1,walk_forward,T2,M30,LONG,34,0.720350655509,-0.148845944348,-5.06076210783,-6.91761488744,0.264705882353
v1,walk_forward,T2,M30,SHORT,33,1.96544376017,0.386485985981,12.7540375374,-3.02429398982,0.363636363636
v1,true_oos,T2,M30,LONG,84,1.43101609317,0.198535889892,16.6770147509,-11.8158322717,0.345238095238
v1,true_oos,T2,M30,SHORT,87,1.24585318267,0.131457569524,11.4368085486,-12.5056161492,0.275862068966
v1,development,T2,H1,LONG,59,3.44346341142,0.94931489582,56.0095788534,-7.43506733817,0.474576271186
v1,development,T2,H1,SHORT,20,1.34832519779,0.179138428418,3.58276856836,-5.7209389063,0.35
v1,walk_forward,T2,H1,LONG,22,3.62628164432,0.939397447952,20.6667438549,-2.48846772634,0.5
v1,walk_forward,T2,H1,SHORT,11,2.52554807934,0.571615382387,6.28776920626,-2.01444534557,0.454545454545
v1,true_oos,T2,H1,LONG,30,3.53220885458,1.07838474321,32.3515422962,-4.13785669237,0.5
v1,true_oos,T2,H1,SHORT,39,1.59303018616,0.269388306528,10.5061439546,-8.96248416187,0.384615384615
v1,development,T3,M30,LONG,148,1.94665947517,0.394925522621,58.4489773479,-11.6256607142,0.445945945946
v1,development,T3,M30,SHORT,87,2.32477406456,0.536838321979,46.7049340122,-7.37047031964,0.448275862069
v1,walk_forward,T3,M30,LONG,35,1.37995615875,0.172018535098,6.02064872843,-7.10515188401,0.4
v1,walk_forward,T3,M30,SHORT,25,2.7112612567,0.620221464273,15.5055366068,-3.00705971023,0.44
v1,true_oos,T3,M30,LONG,83,3.40322376486,0.851700577296,70.6911479156,-4.39397709048,0.518072289157
v1,true_oos,T3,M30,SHORT,79,1.05470924793,0.0254668247776,2.01187915743,-12.3366380018,0.367088607595
v1,development,T3,H1,LONG,79,1.94363110536,0.387676226827,30.6264219194,-11.4509249796,0.443037974684
v1,development,T3,H1,SHORT,35,2.71132911606,0.760835336499,26.6292367775,-4.9663216478,0.428571428571
v1,walk_forward,T3,H1,LONG,22,2.69345447465,0.54818151647,12.0599933623,-4.90701631518,0.545454545455
v1,walk_forward,T3,H1,SHORT,12,4.38980127478,1.78919284998,21.4703141998,-3.92531238086,0.416666666667
v1,true_oos,T3,H1,LONG,47,4.86918627915,1.09335152251,51.3875215581,-5.77429454851,0.531914893617
v1,true_oos,T3,H1,SHORT,50,1.28036909878,0.116863210906,5.8431605453,-8.80312126657,0.36
v2,development,T2,M30,LONG,767,1.33161032896,0.149137034797,114.388105689,-26.5930401554,0.365058670143
v2,development,T2,M30,SHORT,671,1.1935214774,0.0970372180418,65.1119733061,-17.7901446088,0.332339791356
v2,walk_forward,T2,M30,LONG,93,0.986737508101,-0.00677696234776,-0.630257498342,-11.7797891489,0.408602150538
v2,walk_forward,T2,M30,SHORT,117,1.26264356568,0.125764360222,14.7144301459,-7.16929282725,0.393162393162
v2,true_oos,T2,M30,LONG,222,2.01904245621,0.512648126999,113.807884194,-14.3989553853,0.324324324324
v2,true_oos,T2,M30,SHORT,215,1.23730641903,0.121876486198,26.2034445326,-22.5471235409,0.344186046512
v2,development,T2,H1,LONG,375,1.70278207756,0.311492517697,116.809694136,-11.5284890264,0.368
v2,development,T2,H1,SHORT,332,1.51728139026,0.233609912806,77.5584910516,-13.2023393598,0.373493975904
v2,walk_forward,T2,H1,LONG,54,1.7413631533,0.303642522968,16.3966962403,-5.33955703797,0.407407407407
v2,walk_forward,T2,H1,SHORT,63,1.62379187022,0.271886123757,17.1288257967,-4.94241864364,0.349206349206
v2,true_oos,T2,H1,LONG,141,1.32592387808,0.157334794087,22.1842059662,-14.40238127,0.397163120567
v2,true_oos,T2,H1,SHORT,156,1.21949060963,0.106078389614,16.5482287798,-12.4332896684,0.339743589744
v2,development,T3,M30,LONG,856,1.36358779865,0.1591019433,136.191263465,-18.4060520603,0.414719626168
