portfolio_id,year,total_trades,PF,expectancy,net_R,win_rate,max_drawdown,recovery_factor,average_holding_hours,losing_streak,drawdown_duration_trades
A,2025,41,1.55104207714,0.262539260691,10.7641096883,0.390243902439,-9.46784963186,1.13691177056,42.3902439024,11,19
A,2026,28,3.92879258396,1.14619916295,32.0935765625,0.5,-3.06826201819,10.4598552445,41.1785714286,3,6
B,2025,50,1.80824310069,0.395640879717,19.7820439858,0.34,-9.39173991115,2.10632366026,31.32,10,16
B,2026,47,4.88196881956,0.796779534417,37.4486381176,0.553191489362,-3.4779684131,10.7673887942,32.5531914894,7,10
C,2025,91,1.69408151539,0.167836009199,15.2730768371,0.362637362637,-5.31228439674,2.8750487919,36.3076923077,9,27
C,2026,75,4.37505407233,0.463614764534,34.7711073401,0.533333333333,-2.32140563224,14.9784711716,35.7733333333,5,13
D,2025,91,1.69880971347,0.169688763097,15.4416774419,0.362637362637,-5.36779199455,2.87672798379,36.3076923077,9,27
D,2026,75,4.39284496596,0.464949684612,34.8712263459,0.533333333333,-2.36465216252,14.7468735142,35.7733333333,5,13
A,symbol:CNY,34,1.50074479734,0.246486583521,8.38054383973,0.352941176471,-9.05454485954,0.925562131475,36.2647058824,6,22
A,symbol:Si,35,3.50635405215,0.985061211746,34.4771424111,0.514285714286,-4.45086774152,7.74616196511,47.3714285714,5,5
A,direction:LONG,30,3.53220885458,1.07838474321,32.3515422962,0.5,-4.13785669237,7.81842985424,40,5,8
A,direction:SHORT,39,1.59303018616,0.269388306528,10.5061439546,0.384615384615,-8.96248416187,1.17223570663,43.358974359,7,28
B,symbol:CNY,49,2.80825837708,0.569290484508,27.8952337409,0.469387755102,-4.56426834629,6.11165506155,28.4693877551,5,15
B,symbol:Si,48,2.56910937737,0.611155174219,29.3354483625,0.416666666667,-6.93567032157,4.22964861396,35.4375,11,12
B,direction:LONG,47,4.86918627915,1.09335152251,51.3875215581,0.531914893617,-5.77429454851,8.89935924231,34.1276595745,6,13
B,direction:SHORT,50,1.28036909878,0.116863210906,5.8431605453,0.36,-8.80312126657,0.663760087855,29.84,8,43
C,symbol:CNY,83,2.12788231891,0.218528780606,18.1378887903,0.421686746988,-3.61588968538,5.01616209799,31.6626506024,7,29
C,symbol:Si,83,2.9663988513,0.384413197432,31.9062953868,0.457831325301,-2.57171751032,12.4066096913,40.4698795181,5,17
C,direction:LONG,77,4.21365842071,0.543760154898,41.8695319272,0.519480519481,-2.95471974961,14.1703902486,36.4155844156,7,17
C,direction:SHORT,89,1.42402954765,0.0918500252803,8.17465224995,0.370786516854,-7.4459126213,1.09787109596,35.7640449438,7,54
D,symbol:CNY,83,2.15232446733,0.222924557314,18.5027382571,0.421686746988,-3.62311578021,5.1068581242,31.6626506024,7,25
D,symbol:Si,83,2.94937887486,0.383255006394,31.8101655307,0.457831325301,-2.67085188036,11.9101196755,40.4698795181,5,17
D,direction:LONG,77,4.23862724616,0.548382225332,42.2254313505,0.519480519481,-3.02525349763,13.9576506179,36.4155844156,7,17
D,direction:SHORT,89,1.41823993334,0.0908704768231,8.08747243726,0.370786516854,-7.48585934822,1.08036660336,35.7640449438,7,60
