generation,lifecycle_stage,strategy,timeframe,direction,trades,winners,losers,win_rate,net_R,expectancy_R,PF,avg_win_R,avg_loss_R,median_R,std_R,best_trade_R,worst_trade_R,average_holding_hours,median_holding_hours,average_MAE_R,median_MAE_R,average_MFE_R,median_MFE_R,small_sample_flag
v1,baseline,T2,H1,LONG,59,28,31,0.474576271186441,56.009578853409,0.949314895820491,3.44346341141512,2.81899242118888,-0.739426094834832,-0.305924208525,2.71872405016407,15.3747740568,-1.11000181043,44.3389830508475,30,0.459834244647258,0.470999231521,2.79857222455363,1.48094737559,false
v1,baseline,T2,H1,SHORT,20,7,13,0.35,3.5827685683644,0.17913842841822,1.34832519778976,1.98120982888877,-0.791207710296692,-0.50772642828,1.74931270995028,6.28675574227,-1.05838181852,34.3,20,0.419678244060805,0.4527704025185,1.69390608515871,0.9152616112095,true
v1,baseline,T2,M30,LONG,109,40,69,0.36697247706422,29.6070888816119,0.271624668638642,1.65803445544126,1.86500771673522,-0.652075649098505,-0.349766637236,1.96248316803539,14.7507391821,-1.09861697982,18.6880733944954,13.5,0.418558165520062,0.420347511186,1.73599521942917,1.08174303767,false
v1,baseline,T2,M30,SHORT,69,18,51,0.260869565217391,10.0105990948372,0.145081146301988,1.27603834055732,2.57088043783461,-0.711083309533055,-0.45745052645,1.84853384572831,8.6411459116,-1.09128445245,15.2753623188406,7.5,0.521112370752655,0.570645155888,1.58546396707815,0.888384564113,false
v1,baseline,T3,H1,LONG,79,35,44,0.443037974683544,29.5321518441309,0.373824706887733,1.89098707695529,1.79078811855556,-0.753305279666221,-0.322886838580188,1.60623647224668,5.22433723942161,-1.04112615254922,39.8860759493671,27,0.566878497577408,0.559237271333,1.9815710966384,1.25994626977,false
v1,baseline,T3,H1,SHORT,35,15,20,0.428571428571429,26.0134420237197,0.743241200677705,2.63946071589093,2.7920343009216,-0.793353624505216,-0.393358361379878,3.03238698821325,13.9644679247218,-1.04752562596437,37.0571428571429,21,0.516978535315206,0.408484930371,2.25955087198461,1.27050255877,false
v1,baseline,T3,M30,LONG,148,65,83,0.439189189189189,55.289302260652,0.373576366626027,1.87002358140028,1.82828464453237,-0.765653007637972,-0.322272909465746,1.81623264964634,9.88766427080251,-1.09593625999077,21.9594594594595,16,0.602951856091974,0.609444291253,1.71534477109608,0.994745951353,false
v1,baseline,T3,M30,SHORT,87,38,49,0.436781609195402,44.8020985582338,0.514966650094641,2.23511094522975,2.13357481096871,-0.740280495073007,-0.185549431756108,1.94020786052816,7.69567657865381,-1.05713615285933,16.0632183908046,12,0.554207627432593,0.504866666461,1.91814723889045,1.09867102057,false
v1,true_oos,T2,H1,LONG,30,15,15,0.5,32.35154229624,1.078384743208,3.53220885457622,3.00850392471807,-0.851734438302067,-0.0845457626,2.54329271700988,7.27638592676,-1.06840176724,40,29,0.479155872594747,0.5467449218165,2.72339181272109,1.3913056589,false
v1,true_oos,T2,H1,SHORT,39,15,24,0.384615384615385,10.506143954605,0.269388306528333,1.59303018616275,1.8814786442438,-0.738168154543833,-0.575955409786,2.39019235553864,12.9932280859,-1.04887781657,43.3589743589744,24,0.507174731328851,0.463727358402,1.61903180240408,0.722109903669,false
v1,true_oos,T2,M30,LONG,84,29,55,0.345238095238095,16.6770147509345,0.198535889892077,1.43101609316697,1.90928757712944,-0.703496817923985,-0.3941393481795,2.21813104317923,14.6116728165,-1.10376364805,18.8928571428571,15.75,0.486621064279436,0.4733145419455,1.61271789241886,0.8524996459635,false
v1,true_oos,T2,M30,SHORT,87,24,63,0.275862068965517,11.4368085485678,0.131457569523768,1.24585318267486,2.41481931324025,-0.738394523320608,-0.593105759089,2.11446645387626,12.1067394162,-1.07661287982,18.316091954023,8,0.482048455883586,0.492753218901,1.4792032848041,0.657398963375,false
v1,true_oos,T3,H1,LONG,47,25,22,0.531914893617021,51.3875215581193,1.09335152251318,4.8691862791472,2.58674973845224,-0.603691904690305,0.233466243402,2.12873664840652,7.23850694164,-1.04792554046,34.1276595744681,25,0.437270898480579,0.33086320499,2.57377619860835,1.49547260351,false
v1,true_oos,T3,H1,SHORT,50,18,32,0.36,5.8431605452968,0.116863210905936,1.28036909878187,1.48245101703516,-0.65127993004175,-0.2267360704975,1.30880064495982,4.39287230176,-1.02918688957,29.84,23.5,0.605775253972922,0.623073791391,1.45598337888419,0.955073101515,false
v1,true_oos,T3,M30,LONG,83,43,40,0.518072289156627,70.6911479155988,0.851700577296371,3.4032237648647,2.32805305658054,-0.735378337934115,0.0397695878842,2.77581920780481,14.3471077532,-1.06384648697,15.8795180722892,16,0.52238815787324,0.414328491899,2.3013673929226,1.28198917754,false
v1,true_oos,T3,M30,SHORT,79,29,50,0.367088607594937,2.011879157431,0.0254668247776076,1.05470924792938,1.33744491191583,-0.73548046576256,-0.358723774604,1.41254631160631,7.57409586893,-1.06645397314,15.1455696202532,12,0.602364027225827,0.684379175211,1.39780289539241,0.788085790871,false
v1,walk_forward,T2,H1,LONG,22,11,11,0.5,20.6667438549453,0.939397447952059,3.62628164432456,2.5941770027563,-0.715382106852182,-0.197727136386355,3.34107173885637,15.3747740568,-1.11000181041,48.3636363636364,42,0.481622800557955,0.5155719393405,2.71287410803468,1.60161680537,true
v1,walk_forward,T2,H1,SHORT,11,5,6,0.454545454545455,6.2877692062587,0.571615382387154,2.52554807933649,2.08188305006874,-0.6869410073475,-0.118916832863,2.04736027013441,6.28675574227,-1.00795957259,40.2727272727273,21,0.395563479225791,0.335026202083,2.08653779933165,0.787311574895,true
v1,walk_forward,T2,M30,LONG,34,9,25,0.264705882352941,-5.06076210783237,-0.148845944348011,0.720350655509222,1.44845018455822,-0.723872550754255,-0.5837971626715,1.15214048280746,3.6801160293,-1.09861697982,11.5147058823529,4.5,0.479578204757803,0.5089833524325,1.24616016708235,0.782462221748,false
v1,walk_forward,T2,M30,SHORT,33,12,21,0.363636363636364,12.754037537381,0.386485985981242,1.96544376017181,2.16371515091167,-0.629073536836143,-0.310963477938,1.91928824217787,8.6411459116,-1.04570036587,14.030303030303,16,0.467270124777152,0.552826790198,1.79778379956809,1.19413709468,false
v1,walk_forward,T3,H1,LONG,22,12,10,0.545454545454545,11.7036570157645,0.531984409807476,2.59194945969879,1.58795281333085,-0.735177674420575,0.247182189392277,1.44261666751213,3.81828711383638,-1.04112615254922,52.4545454545455,27.5,0.541294412120364,0.5218877826685,1.96197719020682,1.76163019498,true
v1,walk_forward,T3,H1,SHORT,12,5,7,0.416666666666667,21.2080478633361,1.76733732194467,4.27549201278327,5.53656298916571,-0.92496672607035,-0.710742190434802,4.65928642933743,13.9644679247218,-1.04752562596437,43,45.5,0.575902847551725,0.6837378317135,3.51700193243,0.6780052222235,true
v1,walk_forward,T3,M30,LONG,35,14,21,0.4,6.02064872842573,0.172018535097878,1.37995615875028,1.56187780787843,-0.754554313422489,-0.41364589087,1.41592793661514,4.71492441288,-1.09593625999,22.2714285714286,16.5,0.624027169444811,0.596419656603,1.35628426206238,0.670531026833,false
v1,walk_forward,T3,M30,SHORT,25,11,14,0.44,15.5055366068317,0.620221464273268,2.71126125669806,2.23331079777715,-0.647205869194072,-0.185549431756,2.16409385173837,7.69567657866,-1.05154506601,15.66,17.5,0.56715148927932,0.547416339321,2.0254704519175,1.26818848449,true
v2,baseline,T2,H1,LONG,375,138,237,0.368,116.80969413621,0.31149251769656,1.70278207755973,2.05087028770223,-0.701309728129527,-0.353167782009,1.86093727128469,13.8794534098,-2.59521059978,41.4533333333333,22,0.459691704615861,0.459170268561,1.7308094988444,0.874753569484,false
v2,baseline,T2,H1,SHORT,332,124,208,0.373493975903614,77.55849105161,0.233609912806054,1.51728139026085,1.83462345928392,-0.720840470671136,-0.4168524773455,1.94582764231619,21.5671653981,-2.35439614092,42.8584337349398,24,0.452190165761486,0.4434222038375,1.66047165952588,0.973878690074,false
v2,baseline,T2,M30,LONG,767,280,487,0.365058670143416,114.388105689069,0.149137034796701,1.33161032895624,1.6404837862898,-0.708310789470376,-0.361339303791,1.64515489219668,14.7045706407,-5.12451155193,21.0488917861799,16,0.441830544979197,0.422739331529,1.54555602171145,0.951130916238,false
v2,baseline,T2,M30,SHORT,671,223,448,0.332339791356185,65.1119733060748,0.0970372180418403,1.19352147739851,1.80076508695109,-0.751023752419682,-0.507308821901,1.7231005052732,13.9093219482,-3.32087807086,20.4157973174367,14,0.464151324354161,0.472652525918,1.49905810239929,0.753250434517,false
v2,baseline,T3,H1,LONG,414,170,244,0.410628019323671,96.2407868793926,0.232465668790803,1.52966532529675,1.63495243836232,-0.744676752631974,-0.278676447208,1.52074363042236,9.67844604257,-2.56466015562,40.475845410628,25,0.601758083048314,0.6415725281105,1.60294251036839,1.022390756315,false
v2,baseline,T3,H1,SHORT,327,131,196,0.400611620795107,55.3099056389122,0.169143442320833,1.39735275666605,1.48477773892702,-0.710183562043507,-0.333970047493,1.61900219035434,13.5545083328,-1.07749405162,38.7033639143731,24,0.583957442505131,0.591525363494,1.57503585053352,1.06332681718,false
v2,baseline,T3,M30,LONG,856,355,501,0.414719626168224,136.191263464763,0.159101943299957,1.36358779865419,1.43878102536346,-0.747656687703126,-0.299638532588,1.55914012135769,13.1606208736,-3.699242647,21.8142523364486,14.5,0.609410243233465,0.643261652314,1.50539049676042,1.00810868479,false
v2,baseline,T3,M30,SHORT,707,272,435,0.384724186704385,121.382714829332,0.171687008245166,1.37636082325873,1.63198376893984,-0.741418092694953,-0.370421860939,1.49549355311565,7.24391279689,-2.76919055248,20.6308345120226,15,0.606758542275382,0.628465793771,1.52943222242154,0.980572825116,false
v2,true_oos,T2,H1,LONG,141,56,85,0.397163120567376,22.1842059662371,0.157334794086788,1.32592387808164,1.61160376838639,-0.800771824275301,-0.417335458202,1.59361384163964,6.5054505667,-2.46999598045,29.0141843971631,20,0.401994915878677,0.369376389996,1.50565428546047,0.912811893147,false
v2,true_oos,T2,H1,SHORT,156,53,103,0.33974358974359,16.5482287797725,0.106078389613926,1.21949060963081,1.73475505844748,-0.731978537067417,-0.4376327038195,1.8147464612575,12.8936279959,-2.51630612463,33.6089743589744,23,0.437251412757231,0.45443224501,1.50601653897392,0.8348413891635,false
v2,true_oos,T2,M30,LONG,222,72,150,0.324324324324324,113.807884193803,0.512648126999113,2.0190424562147,3.13179283374619,-0.744541332239483,-0.482780240473,6.4232433422407,90.7159022833,-2.16404524875,15.5067567567568,13.25,0.444634195104191,0.4426276235005,1.95185256080184,0.8585664022565,false
v2,true_oos,T2,M30,SHORT,215,74,141,0.344186046511628,26.2034445326065,0.12187648619817,1.23730641902712,1.84626673553448,-0.783122651751381,-0.558395264848,1.94515434408031,15.6279601249,-2.72360484797,18.5581395348837,12.5,0.499964439046252,0.528678614027,1.5387232963848,0.812151781429,false
v2,true_oos,T3,H1,LONG,169,68,101,0.402366863905325,63.8502018328001,0.377811845164498,1.7805902730617,2.14187549963616,-0.809874575667908,-0.43488429254,2.03933015704748,9.67156064673,-2.67911365893,29.6804733727811,21,0.626674439622483,0.651527506289,1.769383583683,0.953635718946,false
v2,true_oos,T3,H1,SHORT,158,54,104,0.341772151898734,0.485066562395431,0.0030700415341483,1.00636085061881,1.4211702746745,-0.733251233365648,-0.3780296572145,1.25031634837667,4.13513749154,-3.10688940021,33.7088607594937,24,0.620807132215747,0.632921196114,1.33786699063552,0.815113503891,false
v2,true_oos,T3,M30,LONG,339,142,197,0.418879056047198,120.41472219532,0.355205670192685,1.74519787177298,1.98593171953395,-0.820241532885793,-0.396260616162,2.1280573958231,15.0220942887,-3.08581110486,17.5752212389381,15,0.627633632448679,0.632104049113,1.74246420082955,0.949959286721,false
v2,true_oos,T3,M30,SHORT,359,132,227,0.367688022284123,35.3355643734567,0.0984277559149211,1.19602083318145,1.63333254140137,-0.794115995997904,-0.517844048514,1.62565098185753,12.2324667414,-3.44480811104,17.9930362116992,14.5,0.637997821769864,0.650254176333,1.42319955923865,0.891725923115,false
v2,walk_forward,T2,H1,LONG,54,22,32,0.407407407407407,16.3966962402637,0.303642522967846,1.74136315330464,1.75062055629002,-0.691154874941147,-0.2330084001895,1.73398331783147,7.42532253399,-2.38548483767,41.4814814814815,26.5,0.435962049861911,0.4379772444225,1.63623116489964,1.0763873897,false
v2,walk_forward,T2,H1,SHORT,63,22,41,0.349206349206349,17.1288257966951,0.271886123757065,1.62379187022228,2.02672845068836,-0.669736588254851,-0.401160924454,1.52412568552025,4.39934150444,-1.08011186154,41.0793650793651,23,0.482365332343183,0.519854767345,1.72985148979727,1.00720987277,false
v2,walk_forward,T2,M30,LONG,93,38,55,0.408602150537634,-0.63025749834192,-0.00677696234776258,0.986737508100804,1.23398798201292,-0.864032742087869,-0.356415447068,1.44349659359899,5.27495341724,-5.12451155193,17.2741935483871,17.5,0.406011856970484,0.326491802918,1.54883327985792,1.1524579836,false
